period_start,symbol,status,baseline_signal,passed_quality_filter,filter_reasons,failed_reasons,return_15d,return_30d,return_to_current,benchmark_return_to_current,elapsed_seconds,error_message,updated_at
2024-09-01,A1CAP,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,36.94466095089635,,-10.054559625876855,30.99801885135125,0.001,,2026-05-25T13:20:44.648942Z
2024-09-01,A1YEN,no_signal,0,0,,,,,,,0.001,,2026-05-25T13:20:44.649159Z
2024-09-01,AAGYO,no_signal,0,0,,,,,,,0.001,,2026-05-25T13:20:44.649341Z
2024-09-01,ACSEL,no_signal,0,0,,,,,,,0.002,,2026-05-25T13:20:44.649501Z
2024-09-01,ADEL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,5.828043854587439,,28.793998845931924,37.90023858220282,0.002,,2026-05-25T13:20:44.650294Z
2024-09-01,ADESE,no_signal,0,0,,,,,,,0.003,,2026-05-25T13:20:44.650492Z
2024-09-01,ADGYO,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,80.4461942257218,46.98162729658792,103.41207349081364,55.9391923439666,0.003,,2026-05-25T13:20:44.651288Z
2024-09-01,AEFES,no_signal,0,0,,,,,,,0.004,,2026-05-25T13:20:44.651471Z
2024-09-01,AFYON,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-8.881118881118887,3.076923076923066,-4.125874125874129,32.449990459299016,0.004,,2026-05-25T13:20:44.652258Z
2024-09-01,AGESA,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,21.83517417162277,25.74341546304161,110.70518266779948,59.89361408514695,0.005,,2026-05-25T13:20:44.652999Z
2024-09-01,AGHOL,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-21.07728337236534,-20.187353629976577,9.47697111631538,42.365594040222064,0.006,,2026-05-25T13:20:44.653721Z
2024-09-01,AGROT,no_signal,0,0,,,,,,,0.006,,2026-05-25T13:20:44.653931Z
2024-09-01,AGYO,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-12.055837563451776,-20.93908629441624,22.842639593908626,68.3705691734862,0.007,,2026-05-25T13:20:44.654651Z
2024-09-01,AHGAZ,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,21.419753086419767,20.864197530864192,73.08641975308643,65.35391147986572,0.007,,2026-05-25T13:20:44.655395Z
2024-09-01,AHSGY,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,154.24107142857144,263.3932205360777,270.99144242001387,41.53167459079548,0.008,,2026-05-25T13:20:44.656139Z
2024-09-01,AKBNK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,9.702062643239096,40.10695187165776,14.973262032085554,36.92994529220217,0.009,,2026-05-25T13:20:44.656909Z
2024-09-01,AKCNS,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,10.294117647058831,-6.372549019607831,24.81617647058825,63.995048351519145,0.01,,2026-05-25T13:20:44.657623Z
2024-09-01,AKENR,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-7.164634146341465,-21.49390243902438,-8.384146341463417,60.40289611533345,0.01,,2026-05-25T13:20:44.658392Z
2024-09-01,AKFGY,no_signal,0,0,,,,,,,0.011,,2026-05-25T13:20:44.658575Z
2024-09-01,AKFIS,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,,,99.71367215461702,5.044527975563673,0.011,,2026-05-25T13:20:44.659336Z
2024-09-01,AKFYE,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,7.785032646911105,,18.03114013058764,9.173054510242771,0.012,,2026-05-25T13:20:44.660062Z
2024-09-01,AKGRT,no_signal,0,0,,,,,,,0.012,,2026-05-25T13:20:44.660241Z
2024-09-01,AKHAN,no_signal,0,0,,,,,,,0.012,,2026-05-25T13:20:44.660450Z
2024-09-01,AKMGY,no_signal,0,0,,,,,,,0.013,,2026-05-25T13:20:44.660643Z
2024-09-01,AKSA,no_signal,0,0,,,,,,,0.013,,2026-05-25T13:20:44.660840Z
2024-09-01,AKSEN,no_signal,0,0,,,,,,,0.028,,2026-05-25T13:20:44.675715Z
2024-09-01,AKSGY,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-9.38375350140056,2.3809523809523725,31.23249299719888,42.365594040222064,0.029,,2026-05-25T13:20:44.676743Z
2024-09-01,AKSUE,no_signal,0,0,,,,,,,0.029,,2026-05-25T13:20:44.676991Z
2024-09-01,AKYHO,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-11.714285714285722,-4.285714285714281,-20.000000000000007,55.94871784252986,0.03,,2026-05-25T13:20:44.677942Z
2024-09-01,ALARK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,-24.925521350546187,-17.328699106256206,-1.5392254220456758,55.936447924733,0.031,,2026-05-25T13:20:44.678999Z
2024-09-01,ALBRK,completed,1,1,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,5.257142857142871,,2.2857142857142687,12.345458939215836,0.032,,2026-05-25T13:20:44.679881Z
